ID;JABATAN_ID;KODE_KOMPETENSI;KOMPETENSI_ID;level;STATUS;DIRKOM_ID
441;78;KIT-PP-PAP-02;63;4;ACTV;2
442;78;TRS-TG-TAM-02;240;4;ACTV;2
443;78;DIS-DG-DAM-02;274;4;ACTV;2
444;78;PBR-LM-KLM-05;486;4;ACTV;2
445;78;LIB-MR-STD-02;468;4;ACTV;2
446;78;LIB-MR-TAS-03;469;4;ACTV;2
447;78;RNC-RM-RMA-02;577;4;ACTV;2
448;79;KIT-PP-PAP-02;63;4;ACTV;2
449;79;KIT-PG-POM-04;163;4;ACTV;2
450;79;KIT-PG-ROM-05;164;4;ACTV;2
451;79;KIT-PE-LCM-04;68;4;ACTV;2
452;79;LIB-MR-TAS-03;469;4;ACTV;2
453;79;LIB-MR-STD-02;468;4;ACTV;2
454;79;PBR-LM-KLM-05;486;4;ACTV;2
455;79;RNC-RM-RMA-02;577;4;ACTV;2
456;80;TRS-TG-TAM-02;240;4;ACTV;2
457;80;DIS-DG-DAM-02;274;4;ACTV;2
458;80;LIB-MR-TAS-03;469;4;ACTV;2
459;80;PBR-LM-KLM-05;486;4;ACTV;2
460;80;LIB-MR-STD-02;468;4;ACTV;2
461;80;RNC-RM-RMA-02;577;4;ACTV;2
462;81;MEK-EE-TRE-01;402;4;ACTV;2
463;81;MEK-EE-DSE-06;407;4;ACTV;2
464;81;MEK-ME-MEN-07;387;4;ACTV;2
465;81;LIB-MR-TAS-03;469;4;ACTV;2
466;81;MEK-JG-PFS-07;434;4;ACTV;2
467;81;PBR-LM-KLM-05;486;4;ACTV;2
468;81;LIB-MR-STD-02;468;4;ACTV;2
469;81;RNC-RM-RMA-02;577;4;ACTV;2
470;82;MEK-JG-PMG-01;428;4;ACTV;2
471;82;MEK-JG-PFS-07;434;4;ACTV;2
472;82;LIB-MR-STD-02;468;4;ACTV;2
473;82;MPS-QM-QMG-01;669;3;ACTV;2
474;82;RNC-RM-RMA-02;577;4;ACTV;2
475;83;MEK-JG-PMG-01;428;3;ACTV;2
476;83;MEK-JG-PFS-07;434;3;ACTV;2
477;83;LIB-MR-STD-02;468;3;ACTV;2
478;83;MPS-QM-QMG-01;669;3;ACTV;2
479;83;MEK-ME-MEN-07;387;3;ACTV;2
480;83;MEK-EE-PPE-05;406;3;ACTV;2
481;83;MEK-EE-IEC-07;408;3;ACTV;2
482;83;KIT-EP-PEP-01;44;3;ACTV;2
483;83;RNC-RM-RMA-02;577;3;ACTV;2
484;84;MEK-JG-PMG-01;428;3;ACTV;2
485;84;MEK-JG-PFS-07;434;3;ACTV;2
486;84;LIB-MR-STD-02;468;3;ACTV;2
487;84;MPS-QM-QMG-01;669;3;ACTV;2
488;84;MEK-EE-TRE-01;402;3;ACTV;2
489;84;MEK-EE-DSE-06;407;3;ACTV;2
490;84;MEK-EE-ESA-04;405;3;ACTV;2
