ID;JABATAN_ID;KODE_KOMPETENSI;KOMPETENSI_ID;level;STATUS;DIRKOM_ID
8842;1348;KIT-PP-PAP-02;63;4;ACTV;2
8843;1348;TRS-TG-TAM-02;240;4;ACTV;2
8844;1348;DIS-DG-DAM-02;274;4;ACTV;2
8845;1348;PBR-LM-KLM-05;486;4;ACTV;2
8846;1348;LIB-MR-STD-02;468;4;ACTV;2
8847;1348;LIB-MR-TAS-03;469;4;ACTV;2
8848;1348;RNC-RM-RMA-02;577;4;ACTV;2
8849;1349;KCP-SE-OAD-01;666;2;ACTV;2
8850;1349;KCP-SE-AMG-02;667;2;ACTV;2
8851;1349;KCP-MS-PTC-03;665;2;ACTV;2
8852;1349;RNC-RM-RMA-02;577;2;ACTV;2
8853;1350;KCP-SE-OAD-01;666;2;ACTV;2
8854;1350;KCP-SE-AMG-02;667;2;ACTV;2
8855;1350;KCP-MS-PTC-03;665;2;ACTV;2
8856;1350;RNC-RM-RMA-02;577;1;ACTV;2
8857;1351;KIT-PP-PAP-02;63;4;ACTV;2
8858;1351;KIT-PG-POM-04;163;4;ACTV;2
8859;1351;KIT-PG-ROM-05;164;4;ACTV;2
8860;1351;KIT-PE-LCM-04;68;4;ACTV;2
8861;1351;LIB-MR-TAS-03;469;4;ACTV;2
8862;1351;LIB-MR-STD-02;468;4;ACTV;2
8863;1351;PBR-LM-KLM-05;486;4;ACTV;2
8864;1351;RNC-RM-RMA-02;577;4;ACTV;2
8865;1352;KCP-SE-OAD-01;666;2;ACTV;2
8866;1352;KCP-SE-AMG-02;667;2;ACTV;2
8867;1352;KCP-MS-PTC-03;665;2;ACTV;2
8868;1352;RNC-RM-RMA-02;577;2;ACTV;2
8869;1353;KCP-SE-OAD-01;666;2;ACTV;2
8870;1353;KCP-SE-AMG-02;667;2;ACTV;2
8871;1353;KCP-MS-PTC-03;665;2;ACTV;2
8872;1353;RNC-RM-RMA-02;577;1;ACTV;2
8873;1354;KIT-PE-PEC-01;65;4;ACTV;2
8874;1354;KIT-PP-PAP-02;63;4;ACTV;2
8875;1354;KIT-PG-POM-04;163;4;ACTV;2
8876;1354;KIT-PG-ROM-05;164;4;ACTV;2
8877;1354;KIT-PE-LCM-04;68;4;ACTV;2
8878;1354;LIB-MR-STD-02;468;4;ACTV;2
8879;1354;RNC-RM-RMA-02;577;4;ACTV;2
8880;1355;KIT-PE-PEC-01;65;4;ACTV;2
8881;1355;KIT-PP-PAP-02;63;4;ACTV;2
8882;1355;KIT-PG-POM-04;163;4;ACTV;2
8883;1355;KIT-PG-ROM-05;164;4;ACTV;2
8884;1355;KIT-PE-LCM-04;68;3;ACTV;2
8885;1355;LIB-MR-STD-02;468;3;ACTV;2
8886;1355;RNC-RM-RMA-02;577;4;ACTV;2
8887;1356;KIT-PE-PEC-01;65;3;ACTV;2
8888;1356;KIT-PP-PAP-02;63;3;ACTV;2
8889;1356;KIT-PG-POM-04;163;3;ACTV;2
8890;1356;KIT-PG-ROM-05;164;3;ACTV;2
8891;1356;KIT-PE-LCM-04;68;3;ACTV;2
8892;1356;LIB-MR-STD-02;468;3;ACTV;2
8893;1356;RNC-RM-RMA-02;577;3;ACTV;2
8894;1357;KIT-PP-PAP-02;63;3;ACTV;2
8895;1357;KIT-PE-LCM-04;68;2;ACTV;2
8896;1357;LIB-MR-STD-02;468;2;ACTV;2
8897;1357;RNC-RM-RMA-02;577;2;ACTV;2
8898;1358;KIT-PP-PAP-02;63;2;ACTV;2
8899;1358;KIT-PE-LCM-04;68;2;ACTV;2
8900;1358;LIB-MR-STD-02;468;2;ACTV;2
8901;1358;RNC-RM-RMA-02;577;2;ACTV;2
