ID;SEBUTAN_JABATAN;organisasi_id;ORGANISASI;jenjang_jabatan_id;JENJANG_JABATAN;job_target_jabatan_id;job_target;PEMIMPIN_UNIT;stream_business_id;STREAM_BUSINESS;profesi_id;PROFESI;STATUS;DIRKOM_ID
78;Kepala Satuan Pusat Keunggulan;82;Kantor Pusat - Satuan Pusat Keunggulan;2;Manajemen Atas;;;Non Pemimpin Unit;2;Corporate Research and Knowledge;45;Manajemen Litbang;ACTV;2
79;Executive Vice President Pembangkitan dan EBT;44;Kantor Pusat - Divisi Pembangkitan dan EBT;2;Manajemen Atas;;;Non Pemimpin Unit;2;Corporate Research and Knowledge;45;Manajemen Litbang;ACTV;2
80;Executive Vice President Transmisi dan Distribusi;70;Kantor Pusat - Divisi Transmisi dan Distribusi;2;Manajemen Atas;;;Non Pemimpin Unit;2;Corporate Research and Knowledge;45;Manajemen Litbang;ACTV;2
81;Executive Vice President Enjiniring dan Teknologi;20;Kantor Pusat - Divisi Enjiniring dan Teknologi;2;Manajemen Atas;;;Non Pemimpin Unit;2;Corporate Research and Knowledge;45;Manajemen Litbang;ACTV;2
82;Vice President Pengembangan Enjiniring;20;Kantor Pusat - Divisi Enjiniring dan Teknologi;3;Manajemen Menengah;;;Non Pemimpin Unit;2;Corporate Research and Knowledge;45;Manajemen Litbang;ACTV;2
83;Manager Pengembangan Enjiniring Pembangkit dan EBT;20;Kantor Pusat - Divisi Enjiniring dan Teknologi;4;Manajemen Dasar;;;Non Pemimpin Unit;2;Corporate Research and Knowledge;45;Manajemen Litbang;ACTV;2
84;Manager Pengembangan Enjiniring Transmisi dan Distribusi;20;Kantor Pusat - Divisi Enjiniring dan Teknologi;4;Manajemen Dasar;;;Non Pemimpin Unit;2;Corporate Research and Knowledge;45;Manajemen Litbang;ACTV;2
85;Manager Pengendalian Mutu dan Data Enjiniring;20;Kantor Pusat - Divisi Enjiniring dan Teknologi;4;Manajemen Dasar;;;Non Pemimpin Unit;2;Corporate Research and Knowledge;45;Manajemen Litbang;ACTV;2
86;Vice President Pengembangan Teknologi;20;Kantor Pusat - Divisi Enjiniring dan Teknologi;3;Manajemen Menengah;;;Non Pemimpin Unit;2;Corporate Research and Knowledge;45;Manajemen Litbang;ACTV;2
87;Kepala Satuan Pengawasan Intern;81;Kantor Pusat - Satuan Pengawasan Intern;2;Manajemen Atas;;;Non Pemimpin Unit;3;Internal Control and Compliance;62;Auditor;ACTV;2
