ID;SEBUTAN_JABATAN;organisasi_id;ORGANISASI;jenjang_jabatan_id;JENJANG_JABATAN;job_target_jabatan_id;job_target;PEMIMPIN_UNIT;stream_business_id;STREAM_BUSINESS;profesi_id;PROFESI;STATUS;DIRKOM_ID
1348;Kepala Satuan Pusat Keunggulan;129;Kantor Pusat - Satuan Pusat Keunggulan;1;Manajemen Atas Khusus;;;Non Pemimpin Unit;2;Corporate Research and Knowledge;45;Manajemen Litbang;ACTV;2
1349;Assistant Officer Administrasi;129;Kantor Pusat - Satuan Pusat Keunggulan;11;Fungsional V;;;Fungsional;10;Corporate and Technical Services;78;Manajemen Kesekretariatan dan Kearsipan;ACTV;2
1350;Junior Officer Administrasi;129;Kantor Pusat - Satuan Pusat Keunggulan;12;Fungsional VI;;;Fungsional;10;Corporate and Technical Services;78;Manajemen Kesekretariatan dan Kearsipan;ACTV;2
1351;Executive Vice President Pembangkitan dan Energi Baru Terbarukan;131;Kantor Pusat - Divisi Pembangkitan dan EBT;2;Manajemen Atas;;;Non Pemimpin Unit;2;Corporate Research and Knowledge;45;Manajemen Litbang;ACTV;2
1352;Assistant Officer Administrasi;131;Kantor Pusat - Divisi Pembangkitan dan EBT;11;Fungsional V;;;Fungsional;10;Corporate and Technical Services;78;Manajemen Kesekretariatan dan Kearsipan;ACTV;2
1353;Junior Officer Administrasi;131;Kantor Pusat - Divisi Pembangkitan dan EBT;12;Fungsional VI;;;Fungsional;10;Corporate and Technical Services;78;Manajemen Kesekretariatan dan Kearsipan;ACTV;2
1354;Principal Engineer Strategi dan Kebijakan Pembangkitan dan Energi Baru Terbarukan;131;Kantor Pusat - Divisi Pembangkitan dan EBT;7;Fungsional I;;;Fungsional;2;Corporate Research and Knowledge;45;Manajemen Litbang;ACTV;2
1355;Senior Engineer I Strategi dan Kebijakan Pembangkitan dan Energi Baru Terbarukan;131;Kantor Pusat - Divisi Pembangkitan dan EBT;8;Fungsional II;;;Fungsional;2;Corporate Research and Knowledge;45;Manajemen Litbang;ACTV;2
1356;Senior Engineer II Strategi dan Kebijakan Pembangkitan dan Energi Baru Terbarukan;131;Kantor Pusat - Divisi Pembangkitan dan EBT;9;Fungsional III;;;Fungsional;2;Corporate Research and Knowledge;45;Manajemen Litbang;ACTV;2
1357;Engineer Strategi dan Kebijakan Pembangkitan dan Energi Baru Terbarukan;131;Kantor Pusat - Divisi Pembangkitan dan EBT;10;Fungsional IV;;;Fungsional;2;Corporate Research and Knowledge;45;Manajemen Litbang;ACTV;2
