ID;KODE;JUDUL_KOMPETENSI;JUDUL_EN;DESKRIPSI;STATUS;DIRKOM_ID;ID
44;KIT-EP-PEP-01;Perencanaan Energi Primer;Primary Energy Planning;Pengetahuan dan keterampilan untuk merencanakan kebutuhan dan pemenuhan energi primer dalam jangka pendek (RKAP) maupun jangka panjang (RJPP dan RUPTL) secara optimal, berdasarkan evaluasi pemakaian energi primer sebelumnya dan menyusun strategi pemenuhan energi primer kedepan dengan mempertimbangkan kebutuhan dari Regional/Unit, target fuel mix dan biaya energi primer untuk pemenuhan kebutuhan pembangkit.;ACTV;2;44
45;KIT-EP-CPL-02;Perencanaan Batubara;Coal Planning;Pengetahuan dan keterampilan untuk merencanakan kebutuhan dan pemenuhan Batu bara dalam jangka pendek (RKAP) maupun jangka panjang (RJPP) secara optimal, berdasarkan evaluasi pemakaian Batu bara sebelumnya dan strategi pemenuhan Batu bara kedepan dengan mempertimbangkan Fuel Mix, RUPTL dan efisiensi biaya.;ACTV;2;45
46;KIT-EP-GPL-03;Perencanaan Gas;Gas Planning;Pengetahuan dan keterampilan  untuk merencanakan kebutuhan dan pemenuhan gas dalam jangka pendek (RKAP) maupun jangka panjang (RJPP dan RUPTL) secara optimal, berdasarkan evaluasi pemakaian gas sebelumnya dan menyusun strategi pemenuhan gas kedepan dengan mempertimbangkan kebutuhan dari Regional/Unit, ketersediaan pasokan gas, target fuel mix dan biaya gas untuk pemenuhan kebutuhan pembangkit berbahan bakar gas.;ACTV;2;46
47;KIT-EP-FPL-04;Perencanaan BBM;Fuel Planning;Pengetahuan dan keterampilan  untuk merencanakan pemenuhan BBM dalam jangka pendek (RKAP) maupun jangka panjang (RJPP) secara optimal, dan menyusun strategi pemenuhan BBM kedepan dengan mempertimbangkan kebutuhan dari Unit/Regional untuk memenuhi kebutuhan operasional pembangkit berbahan bakar BBM dan RUPTL. ;ACTV;2;47
48;KIT-EP-GFL-05;Perencanaan Logistik dan Infrastruktur Gas dan BBM;Gas and Fuel Infrastructur and Logistic Planning;Pengetahuan dan keterampilan  untuk mendesain skema logistik serta kebutuhan infrastruktur dalam jangka pendek (RKAP) maupun jangka panjang (RJPP) secara optimal dengan mempertimbangkan security of supply, flexibility, dan keekonomian biaya.;ACTV;2;48
49;KIT-EP-CPP-06;Perencanaan Pengadaan Batubara;Coal Procurement Planning;Pengetahuan dan keterampilan  untuk menyusun dan merencanakan dokumen pengadaan batu bara mencakup kajian risiko, analisis harga batu bara, analisis ongkos angkut, termasuk memastikan kebutuhan batu bara masing-masing PLTU untuk periode tertentu untuk pemenuhan kebutuhan pembangkit.;ACTV;2;49
50;KIT-EM-CPR-01;Pengadaan Batubara;Coal Procurement;Pengetahuan dan keterampilan  untuk melaksanakan proses pengadaan batu bara untuk kebutuhan PLTU sesuai ketentuan dan aturan yang berlaku.  ;ACTV;2;50
51;KIT-EM-CCC-02;Pengendalian Kontrak Batubara;Control of Coal Contract;Pengetahuan dan keterampilan  untuk melaksanakan pengendalian kontrak jual beli Batu bara dan jasa transportasi sehingga didapatkan pasokan Batu bara berkualitas dan memenuhi kuantitas kebutuhan operasional pembangkit dengan biaya yang efisien dan melakukan penyesuaian terhadap klausul-klausul kontrak melalui amandemen/addendum.;ACTV;2;51
52;KIT-EM-CCS-03;Pengendalian Pasokan Batubara;Control of Coal Supply;Pengetahuan dan keterampilan  untuk mengendalikan pasokan batu bara ke Unit PLTU sesuai dengan kebutuhan dalam rangka menjamin keamanan pasokan batu bara (security of coal supply) dan melakukan evaluasi atas realisasi terhadap rencana penerimaan batu bara.;ACTV;2;52
53;KIT-EM-CRR-04;Pelaporan Realisasi Batubara;Coal Realization Reporting;Pengetahuan dan keterampilan  untuk mengumpulkan data, mengolah data, menyusun pelaporan dan menganalisis data realisasi Batu bara meliputi realisasi pasokan, pemakaian dan biaya Batu bara untuk kebutuhan pelaporan internal maupun eksternal serta menyusun proyeksi pemakaian Batu bara sebagai bahan perencanaan pengadaan.    ;ACTV;2;53
