ID;KODE_KOMPETENSI;KOMPETENSI_ID;level;PERILAKU;CONTOH;STATUS;DIRKOM_ID
259;KIT-EP-PEP-01;44;1;Mengetahui dan memahami proses penyusunan rencana kebutuhan dan pemenuhan energi primer serta parameter yang berhubungan dengan perencanaan energy primer dalam jangka pendek maupun jangka panjang.;Contoh :  Menyebutkan dan menjelaskan dan menjelaskan metode perhitungan kebutuhan dan pemenuhan energi primer dalam penyusunan RKAP, memahami proses perhitungan kebutuhan batu bara, memahami proses perhitungan kebutuhan gas & BBM, memahami proses perhitungan biaya batu bara, memahami proses perhitungan biaya gas &BBM, memahami potensi energi primer, memahami asumsi yang berhubungan dengan perhitungan dalam RKAP dan RJPP.;ACTV;2
260;KIT-EP-CPL-02;45;1;Mengetahui dan memahami proses perencanaan pemenuhan batu bara dalam jangka pendek maupun jangka panjang serta parameter yang berhubungan dengan perencanaan batu bara.;Contoh : Menyebutkan dan menjelaskan dan menjelaskan proses yang terkait dengan perhitungan kebutuhan batu bara dalam penyusunan RKAP, kebutuhan batu bara jangka panjang.;ACTV;2
261;KIT-EP-GPL-03;46;1;Mengetahui dan memahami proses proses perencanaan gas serta parameter yang berhubungan dengan perencanaan gas dalam jangka pendek maupun jangka panjang.;Contoh : Menjelaskan metode perhitungan kebutuhan dan pemenuhan Gas dalam penyusunan RKAP, memahami proses perhitungan harga gas, memahami potensi Gas, memahami asumsi yang berhubungan dengan perhitungan dalam RKAP dan RJPP. ;ACTV;2
262;KIT-EP-FPL-04;47;1;Mengetahui dan memahami proses perencanaan BBM serta parameter yang berhubungan dengan Perencanaan BBM dalam jangka pendek maupun jangka panjang ;Contoh : Menyebutkan dan menjelaskan dan menjelaskan metode pemenuhan kebutuhan BBM dalam penyusunan RKAP, memahami asumsi yang berhubungan dengan perhitungan dalam RKAP dan RJPP.;ACTV;2
263;KIT-EP-GFL-05;48;1;Mengetahui dan memahami desain optimasi skema logistik Gas dan BBM serta kebutuhan infrastruktur;Contoh : Menyebutkan dan menjelaskan dan menjelaskan skema logistik point to point, hub and spoke dan milk run.;ACTV;2
264;KIT-EP-CPP-06;49;1;Mengetahui dan memahami proses perencanaan pengadaan batu bara meliputi kajian operasi, kajian risiko, analisis harga batu bara acuan (HBA), harga patokan batu bara (HPB), dan harga transportasi batu bara. ;Contoh : Menyebutkan dan menjelaskan dan menjelaskan tahapan-tahapan proses perencanaan pengadaan batu bara ;ACTV;2
265;KIT-EM-CPR-01;50;1;Mengetahui dan memahami dan memahami proses yang terkait dengan pengadaan batu bara antara lain ketentuan pengadaan batu bara dan regulasi yang mengatur terkait dengan batu bara, tahapan penyusunan Harga Perkiraan Sendiri (HPS), tahapan proses pengadaan, metode penyampaian dan evaluasi dokumen penawaran, negosiasi penawaran, dan dokumentasi administrasi hasil pengadaan batu bara.  ;Contoh : Menyebutkan dan menjelaskan dan menjelaskan proses yang terkait dengan pengadaan batu bara antara lain perhitungan harga batu bara dan transportasi batu bara, penyusunan HPS, pengumuman, penjelasan (aanwijzing), proses dan tahapan penawaran, negosiasi dan contract discussion agreement (apabila ada). ;ACTV;2
266;KIT-EM-CCC-02;51;1;Mengetahui dan memahami teknis penambangan, spesifikasi, klasifikasi Batu bara dengan cara dan ketentuan perhitungan harga Batu bara acuan (HBA), harga patokan Batu bara (HPB), keterkaitan seluruh klausul dalam kontrak serta konsekuensi pada pelaksanaan kontrak.;Contoh : Menyebutkan dan menjelaskan dan menjelaskan cara perhitungan harga dasar Batu bara, pasal-pasal dan kondisi yang mempengaruhi perhitungan harga Batu bara acuan (HBA), harga patokan Batu bara (HPB), biaya-biaya pengangkutan dan pembongkaran Batu bara, performa pemasok dan kontinuitas pasokan Batu bara ke PLTU.;ACTV;2
267;KIT-EM-CCS-03;52;1;Mengetahui dan memahami alur proses pengendalian batu bara sesuai dengan Instruksi Kerja (IK), Perjanjian Jual Beli Batu bara (PJBB), Perjanjian Jasa Angkutan Transportasi Batu bara (PJATB), Rapat Koordinasi (Rakor) Batu bara Bulanan dan Berita Acara Alokasi Batu bara Tahunan.;Contoh : Menyebutkan dan menjelaskan dan menjelaskan  proses pengendalian pasokan batu bara mulai dari perhitungan kebutuhan batu bara per PLTU, administrasi penerimaan batu bara, Perjanjian Jual Beli Batu bara (PJBB), Perjanjian Jasa Angkutan Transportasi Batu bara (PJATB), Berita Acara Alokasi Batu bara Tahunan dan Rakor Batu bara Bulanan.;ACTV;2
268;KIT-EM-CRR-04;53;1;Mengetahui dan memahami penyiapan laporan internal dan eksternal baik secara online maupun offline serta periode penyampaiannya serta mampu memahami alur proses dalam pelaporan melalui aplikasi online.;Contoh : Menyebutkan dan menjelaskan dan menjelaskan proses penyiapan laporan realisasi Batu bara, laporan penyerapan Batu bara DMO per Pemasok, laporan pengiriman Batu bara per permasok, dan aplikasi BBO Intro. ;ACTV;2
