ORGEH;COMPANY_CODE;NAMA_UNIT;PARENT;TEXT PARENT;TARGET_REALISASI_COC
17500181;1000;Divisi Transformasi Korporat dan CEO Office;10029326;SEKPER;95
17500181;1000;Divisi Manajemen Stakeholder dan BOD Support;10029326;SEKPER;95
10073751;1000;Divisi Komunikasi Korporat dan TJSL;10029326;SEKPER;95
10074432;1000;Divisi Strategi Audit dan Konsultasi;10029325;SPI;95
10029835;1000;Divisi Audit Investigasi;10029325;SPI;95
17500007;1000;Divisi Audit Konstruksi, Pembangkitan, dan EBT;10029325;SPI;95
10096078;1000;Divisi Audit Transmisi dan Distribusi;10029325;SPI;95
10074163;1000;Divisi Audit Niaga, Teknologi Informasi, dan Enabler;10029325;SPI;95
17403270;1000;Divisi Infrastruktur, Jaminan Kualitas, dan Pelaporan Manajemen Risiko;17403269;SAT MRO;95
17403271;1000;Divisi Manajemen Risiko Konstruksi, Pembangkitan, dan EBT;17403269;SAT MRO;95
10096275;1000;Divisi Manajemen Risiko Transmisi dan Distribusi;17403269;SAT MRO;95
10096290;1000;Divisi Manajemen Risiko Strategis, Keuangan, dan Human Capital;17403269;SAT MRO;95
10094026;1000;Divisi Manajemen Digital;10095974;SAT DTI;95
10073855;1000;Divisi Sistem dan Teknologi Informasi;10095974;SAT DTI;95
10090282;1000;Divisi Perencanaan Strategis Korporat;10073752;DIT REN;95
10095973;1000;Divisi Pengembangan Bisnis Korporat dan Investasi;10073752;DIT REN;95
10073783;1000;Divisi Manajemen Portofolio;10073752;DIT REN;95
10029328;1000;Divisi Pengendalian Kinerja Korporat;10073752;DIT REN;95
10094000;1000;Divisi Enjiniring dan Perencanaan Pengadaan;10085727;DIT MPRO;95
10094001;1000;Divisi Aneka Energi Baru Terbarukan;10085727;DIT MPRO;95
17409242;1000;Divisi Panas Bumi;10085727;DIT MPRO;95
10073777;1000;Divisi Manajemen Rantai Pasok;10085727;DIT MPRO;95
17409262;1000;Divisi Pengadaan Transmisi, Gardu Induk dan Material Terpusat;10085727;DIT MPRO;95
10094002;1000;Divisi Pengadaan Pembangkit dan IPP;10085727;DIT MPRO;95
10093976;1000;Divisi Konstruksi Sumatera, Kalimantan dan Sulawesi;10085727;DIT MPRO;95
10094003;1000;Divisi Konstruksi Jawa, Madura, Bali, Nusa Tenggara, Maluku dan Papua;10085727;DIT MPRO;95
10073778;1000;Divisi Project Management Office;10085727;DIT MPRO;95
10096095;1000;Divisi Perencanaan Strategis Pembangkitan;10073756;DIT MKIT;95
10096099;1000;Divisi Operasi Pembangkitan dan Independent Power Producer;10073756;DIT MKIT;95
10096105;1000;Divisi Pengendalian Pembangkitan dan Independent Power Producer;10073756;DIT MKIT;95
10096114;1000;Divisi Manajemen Aset, Enjiniring dan Sistem Manajemen Terintegrasi;10073757;DIT TRANS;95
10073779;1000;Divisi Perencanan Sistem Ketenagalistrikan;10073757;DIT TRANS;95
10096113;1000;Divisi Transisi Energi dan Keberlanjutan;10073757;DIT TRANS;95
10096112;1000;Divisi Operasi Sistem Ketenagalistrikan;10073757;DIT TRANS;95
10096111;1000;Divisi Perencanaan Strategis Transmisi;10073757;DIT TRANS;95
17403250;1000;Divisi Transmisi Sumatera, Jawa, Madura, dan Bali;10073757;DIT TRANS;95
17403260;1000;Divisi Transmisi Kalimantan, Sulawesi, Maluku, Papua, dan Nusa Tenggara;10073757;DIT TRANS;95
10096054;1000;Divisi Perencanaan Strategis Distribusi;10085737;DIT DIST;95
17403251;1000;Divisi Operasi Distribusi Jawa, Madura, dan Bali;10085737;DIT DIST;95
17403261;1000;Divisi Operasi Distribusi Sumatera dan Kalimantan;10085737;DIT DIST;95
17403256;1000;Divisi Operasi Distribusi Sulawesi, Maluku, Papua, dan Nusa Tenggara;10085737;DIT DIST;95
10096868;1000;DIVISI PENGEMBANGAN LISTRIK DESA;10085737;DIT DIST;95
10096062;1000;Divisi Niaga dan Pemasaran;10093752;DIT RETAIL;95
